tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
"INSTITUTO ANIMA SOCIESC DE INOVACAO, PESQUISA E CULTURA",,Associação Privada,2005.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BENEFICIENTE FAMILIAR BELEM DE CRIANCAS E ADOLESCENTES CARENTES,ABEFAC,Associação Privada,2012.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
CLUBE DOS CORRETORES DE SEGUROS DA COSTA DA MATA ATLANTICA,MESMO,Associação Privada,2003.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO M2 NETWORK,,Associação Privada,2013.0,,,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
FRATERNIDADE DE ALIANCA TOCA DE ASSIS,TOCA DE ASSIS,Associação Privada,2002.0,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,ENCRUZILHADA,Religião,Religião
ASSOCIACAO DOS COMBATENTES DE 1932 - DE SANTOS,,Associação Privada,1997.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
AFABAN - ASSOCIACAO DOS FUNCIONARIOS APOSENTADOS E PENSIONISTAS DO BANCO DO ESTADO DE SAO PAULO DA BAIXADA SANTISTA,AFABAN,Associação Privada,1997.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO PALACIO MACONICO DE SANTOS,ASSOCIACAO PALACIO PACONICO DE SANTOS,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
ASSOC.CESS.MODULOS DO SPECIAL CAMPING,ACMSC,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
INSTITUTO DE PRESERVACAO E DIFUSAO DA HISTORIA DO CAFE E DA IMIGRACAO,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE CRIANCAS ESPECIAIS DE SANTOS - ACES,ESCOLA DE EDUCACAO ESPECIAL WALTER BERGAMO,Associação Privada,1998.0,Ensino fundamental,Ensino fundamental,CAMPO GRANDE,Educação e pesquisa,Ensino fundamental
ASSOCIACAO BRASILEIRA DE TERMINAIS DE LIQUIDOS,ABTL,Associação Privada,1998.0,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO FABRICA DE SOLIDARIEDADE,,Associação Privada,1998.0,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,MORRO SAO BENTO,Educação e pesquisa,Educação infantil
CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE,CEUBAN,Associação Privada,1996.0,Educação superior - graduação,Educação superior - graduação,VILA MATIAS,Educação e pesquisa; Outras atividades associativas; Saúde,Associações de atividades não especificadas anteriormente
ASSOCIACAO PLURAL,PLURAL,Associação Privada,1999.0,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais","Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais",VILA MATHIAS,Saúde,Outros serviços de saúde
INSTITUTO OSVALDO DE ROSIS,A. B. O. R.,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO EM SANTOS,TV COM SANTOS,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA BELMIRO,Desenvolvimento e defesa de direitos; Outras atividades associativas,Associações de atividades não especificadas anteriormente
INCATEP INSTITUTO DE CAPACITACAO TECNICA PROFISSIONAL,GRUPO INCATEP,Associação Privada,1999.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,ESTUARIO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BENEFICENTE SONY BARSOTTI MEY,,Associação Privada,1999.0,Educação infantil - creche,Educação infantil - creche,ENCRUZILHADA,Educação e pesquisa,Educação infantil
ASSOCIACAO BENEFICENTE MAOS ENTRELACADAS,GREMIO RECR. CULTURAL ACADEMIA SAMBA MAOS ENTRELACADAS,Organização Social,2011.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,RADIO CLUBE,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
ROTARY CLUB DE SANTOS PONTA DA PRAIA,,Associação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO HOSPITALAR CASA DE SAUDE DE SANTOS,,Associação Privada,2013.0,,,BOQUEIRAO,Saúde,Hospitais
IGREJA BATISTA CENTRAL EM SANTOS,IGREJA BATISTA CENTRAL DE ADORACAO,Organização Religiosa,2013.0,,,VILA BELMIRO,Religião,Religião
PREVIDENCIA USIMINAS,,Associação Privada,2012.0,Previdência complementar fechada,Previdência complementar fechada,ENCRUZILHADA,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
ACAO DE RECUPERACAO SOCIAL-ARS,,Associação Privada,1994.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CHICO DE PAULA,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
ASS POLICIAL DE ASSISTENCIA A SAUDE DA BAIXADA SANTISTA,APAS,Associação Privada,1994.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA BELMIRO,Outras atividades associativas; Outros; Saúde,Associações de atividades não especificadas anteriormente
LOJA MACONICA 26 DE JANEIRO,,Associação Privada,1994.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA NOVA,Desenvolvimento e defesa de direitos; Religião,Religião
COMUNIDADE EVANGELICA DA PAZ,,Associação Privada,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
LAR ESPIRITA CAMINHO DO CRISTO,,Associação Privada,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA MATIAS,Religião,Religião
SOCIEDADE BIBLICA INTERNACIONAL,,Associação Privada,1994.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
ESCRITORIO CENTRAL DE ARRECADACAO E DISTRIBUICAO ECAD,,Associação Privada,2001.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,BOQUEIRAO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
FUNDACAO ASSISTENCIAL DOS SERVIDORES DO MINISTERIO DA FAZENDA,ASSEFAZ-SANTOS,Fundação Privada,1985.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA MATIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO POIESIS,,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PAQUETA,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
ORGAO GESTAO MAO OBRA DO TRAB PORT DO PORTO ORG SANTOS,OGMO SANTOS,Associação Privada,1995.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL AO EXCEPCIONAL - CENTRO DE CONVIVENCIA MARIA HELENA - ABASE,ABASE,Associação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Assistência social; Desenvolvimento e defesa de direitos,Outros
IGREJA BATISTA DA PONTA DA PRAIA,,Associação Privada,1996.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,PONTA DA PRAIA,Religião,Religião
ASSOCIACAO COMUNIDADE DE MAOS DADAS,,Associação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Assistência social; Desenvolvimento e defesa de direitos,Outros
CENTRO CULTURAL PORTUGUES,CENTRO CULTURAL PORTUGUES,Associação Privada,2010.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,CENTRO,Cultura e recreação,Cultura e arte
ASSOCIACAO DESPORTIVA E CULTURAL ESTRELA,A.D.C. ESTRELA,Associação Privada,2010.0,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,VILA NOVA,Cultura e recreação,Esporte e recreação
ASSOCIACAO AFAM DE ASSISTENCIA FARMACEUTICA,FARMAFAM - SANTOS,Associação Privada,2011.0,Comércio varejista de produtos farmacêuticos para uso humano e veterinário,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",GONZAGA,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
ASSOCIACAO DE MANTENEDORES BENEFICIARIOS DA PETROS,AMBEP,Associação Privada,1985.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
FUNDACAO PETROBRAS DE SEGURIDADE SOCIAL PETROS,,Fundação Privada,1990.0,Previdência complementar fechada,Previdência complementar fechada,BOQUEIRAO,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
CENTRO REDENTOR,RACIONALISMO CRISTAO,Organização Religiosa,1970.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,GONZAGA,Religião,Religião
IGREJA UNIVERSAL DO REINO DE DEUS,,Organização Religiosa,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ENCRUZILHADA,Religião,Religião
PROVINCIA CARMELITANA DE SANTO ELIAS,CONVENTO DO CARMO,Associação Privada,1966.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CENTRO,Religião,Religião
CAMPING CLUBE DO BRASIL,,Associação Privada,1988.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",BERTIOGA,Cultura e recreação,Esporte e recreação
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL,CLINICASSI SANTOS - SP,Associação Privada,2005.0,,,GONZAGA,Outras atividades associativas; Outros; Saúde,Associações de atividades não especificadas anteriormente
LEGIAO DA BOA VONTADE,NUCLEO E CENTRO COMUNITARIO DE ASSISTENCIA SOCIAL,Associação Privada,1982.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,ENCRUZILHADA,Assistência social,Assistência social
ASSOCIACAO BENEFICIENTE E REPRESENTATIVA DOS APOSENTADO,ABRACO,Associação Privada,1983.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
"ESCRITORIO DE SERVICOS LOCAIS DE ALCOOLICOS ANONIMOS DA BAIXADA SANTISTA, LITORAL SUL E VALE DO RIBEIRA - AREA - 40",ESL - AREA - 40,Associação Privada,1982.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL,COLEGIO ADVENTISTA DE SANTOS,Associação Privada,1980.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA BELMIRO,Educação e pesquisa,Ensino fundamental
ASSOC BENEF E RECREATIVA EMPREGADOS STA CASA DE SANTOS,ABRESCAS,Associação Privada,1973.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JABAQUARA,Desenvolvimento e defesa de direitos,Outros
ROTARY CLUB DE SANTOS OESTE,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
IGREJA BATISTA DO CENTENARIO,,Associação Privada,1983.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
GREMIO ESPORTIVO MESQUITA,,Associação Privada,1972.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,ALEMOA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE FAMILIAS DE ROTARIANOS DE SANTOS,,Associação Privada,1972.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,GONZAGA,Assistência social,Assistência social
CAIXA DE ASSISTENCIA DOS ADVOGADOS DE SAO PAULO,,Associação Privada,1993.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO,SUB SECCAO SANTOS,Associação Privada,1975.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
"ISBET-INSTITUTO BRASILEIRO PRO- EDUCACAO , TRABALHO E DESENVOLVIMENTO",,Associação Privada,2014.0,,,VILA BELMIRO,Desenvolvimento e defesa de direitos,Outros
CEFAS CENTRO DE FORMACAO PARA APOSTOLADO DE SANTOS,,Associação Privada,1973.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,JABAQUARA,Cultura e recreação,Cultura e arte
SOCIEDADE AMIGOS DA MARINHA,,Associação Privada,1972.0,Atividades de recreação e lazer não especificadas anteriormente,Outras atividades de recreação e lazer não especificadas anteriormente,ENCRUZILHADA,Cultura e recreação,Esporte e recreação
ROTARY CLUB SANTOS PRAIA,,Associação Privada,1977.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,GONZAGA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA,AFIP,Associação Privada,2000.0,Atividades de serviços de complementação diagnóstica e terapêutica,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,ENCRUZILHADA,Saúde,Outros serviços de saúde
ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA,AFIP,Associação Privada,2010.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,BOQUEIRAO,Saúde,Outros serviços de saúde
ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA,AFIP,Associação Privada,2010.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,APARECIDA,Saúde,Outros serviços de saúde
LAR ESPIRITA MENSAGEIROS DA LUZ - PARALISIA CEREBRAL,,Associação Privada,1975.0,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,ENCRUZILHADA,Assistência social; Saúde,Assistência social
ASSOCIACAO DE PAIS PRO CENTRO DE REC DE EXCEPCIONAIS,,Associação Privada,1974.0,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química","Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente",CENTRO,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
ASSOCIACAO BRASILEIRA DOS TERMINAIS RETROPORTUARIOS E DAS EMPRESAS TRANSPORTADORAS DE CONTAINERES,ABTTC,Associação Privada,1977.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
LOJA COLUNA SANTISTA CENTO E SETENTA E UM,,Associação Privada,1977.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CAMPO GRANDE,Desenvolvimento e defesa de direitos; Religião,Religião
ACADEMIA SANTISTA DE LETRAS,CASA DE MARTINS FONTES,Associação Privada,1977.0,Atividades de atendimento hospitalar,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",BOQUEIRAO,Cultura e recreação,Cultura e arte
ASSOCIACAO DESPORTIVA CLASSISTA COPEBRAS,,Associação Privada,1978.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
CAMARA DOS DIRIGENTES LOJISTAS SANTOS PRAIA,CDL - SANTOS - PRAIA,Associação Privada,1975.0,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,GONZAGA,Cultura e recreação,Esporte e recreação
LIONS CLUBE SANTOS PONTA DA PRAIA,,Associação Privada,1976.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,APARECIDA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE INSTRUCAO POPULAR E BENEFICENCIA,COLEGIO SAO JOSE,Associação Privada,1967.0,Ensino médio,Ensino médio,Não informado,Educação e pesquisa,Educação superior; Ensino médio
SOCIEDADE BENEFICIENTE ISLAMICA DO LITORAL PAULISTA,,Associação Privada,1978.0,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,MACUCO,Assistência social,Assistência social
SOCIEDADE DE MELHORAMENTOS DA VILA PROGRESSO,,Associação Privada,1979.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,NOVA CINTRA,Desenvolvimento e defesa de direitos,Outros
IGREJA PRESBITERIANA INDEPENDENTE GETSEMANI,,Associação Privada,1979.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA BELMIRO,Religião,Religião
SOCIEDADE FILANTROPICA DAMASCO,,Associação Privada,1979.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,EMBARE,Assistência social,Assistência social
GREMIO MARECHAL DEODORO,,Associação Privada,1979.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,MACUCO,Cultura e recreação,Esporte e recreação
ASSOCIACAO BENEFICENTE PROMOCIONAL - MOVIMENTO ALPHA DE ACAO COMUNITARIA,M.A.A.C. MOVIMENTO ALPHA DE ACAO COMUNITARIA,Associação Privada,1980.0,,,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO LAR CRISTAO SAO FRANCISCO DE ASSIS,,Associação Privada,1979.0,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,MACUCO,Assistência social,Assistência social
ASSOCIACAO DE MORADORES DO CONJ HABITACIONAL ANA COSTA,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
CLUBE ATLETICO SANTA CECILIA,,Associação Privada,1981.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",APARECIDA,Cultura e recreação,Esporte e recreação
ASSOC EMPRESARIOS CONSTRUCAO CIVIL DA BAIXADA SANTISTA,ASSECOB,Associação Privada,1981.0,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA  ACACIA DE SANTOS N 224,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ESTUARIO,Desenvolvimento e defesa de direitos; Religião,Religião
ASSOCIACAO DOS AMIGOS DO 6 BPMI,,Associação Privada,1982.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DAS IGREJAS BATISTAS DO LITORAL PAULISTA,SEMINARIO TEOLOGICO BATISTA DO LITORAL PAULISTA,Associação Privada,2004.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CAMPO GRANDE,Religião,Religião
IGREJA BATISTA DO MARAPE,,Associação Privada,1977.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MARAPE,Religião,Religião
GRUPO ESPIRITA CRISTAO DE SANTOS,,Associação Privada,1978.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ESTUARIO,Religião,Religião
GRUPO ESPIRITA CRISTAO DE SANTOS,CRECHE LAR ESCOLA IRMA SCHEILA,Associação Privada,1989.0,Educação infantil - pré-escola,Educação infantil - pré-escola,ESTUARIO,Religião,Religião
ASSOCIACAO DO PESSOAL TECNICO ADMINISTRATIVO DA CODESP,ATAC,Associação Privada,1985.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
LAR EVANGELICO DE AMPARO A VELHICE,,Associação Privada,1983.0,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,VILA SAO JORGE,Assistência social,Assistência social
MUSEU DE ARTE SACRA DE SANTOS,,Associação Privada,1984.0,"Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares",Atividades de museus e de exploração de lugares e prédios históricos e atrações similares,MORRO DE SAO BENTO,Saúde,Outros serviços de saúde
IGREJA BATISTA MEMORIAL DE SANTOS,,Associação Privada,1986.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CAMPO GRANDE,Religião,Religião
PRIMEIRA IGREJA BATISTA DE SANTOS,,Associação Privada,1986.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CENTRO,Religião,Religião
ASSOCIACAO DOS ADVOGADOS DE SANTOS,,Associação Privada,1984.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,GONZAGA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
MINISTERIO EVANGELICO CRISTO E A VIDA,,Associação Privada,1986.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ENCRUZILHADA,Religião,Religião
CLUBE DO PELICANO,,Associação Privada,1985.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO RENATINHO,,Associação Privada,1984.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,MORRO DA NOVA CINTRA,Assistência social,Assistência social
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,AEA STELLA MARIS,Associação Privada,1986.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,VILA MATHIAS,Educação e pesquisa,Outras formas de educação/ensino
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,,Associação Privada,1995.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,JABAQUARA,Assistência social,Assistência social
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,CENTRO DE CONVIVENCIA SANTA RITA,Associação Privada,1995.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,BOQUEIRAO,Assistência social,Assistência social
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,CRECHE MADRE ALIX,Associação Privada,1995.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,VL MATIAS,Educação e pesquisa,Educação infantil
ASSOC. DOS COND. AUTON. DE TAXIS DE SANTOS RADIO TAXI,ASSOCIACAO DE RADIO TAXI,Associação Privada,1986.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
FUNDACAO 'DOM DAVID',FUNDACAO 'DOM DAVID',Associação Privada,1987.0,Atividades de serviços pessoais não especificadas anteriormente,Outras atividades de serviços pessoais não especificadas anteriormente,CAMPO GRANDE,Assistência social,Assistência social
ASSOCIACAO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS,APAEA,Associação Privada,1987.0,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química","Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente",VILA MATHIAS,Assistência social; Educação e pesquisa,Ensino fundamental
CASA VO BENEDITA,,Associação Privada,1987.0,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,AREIA BRANCA,Assistência social,Assistência social
CASA VO BENEDITA,CASA VO BENEDITA - UNIDADE II,Associação Privada,2009.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,VILA NOVA,Assistência social,Assistência social
IGREJA BATISTA DO CALVARIO,CALVARIO,Associação Privada,1987.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
ASSOCIACAO BRAZ CUBAS,BRAZ CUBAS,Associação Privada,1987.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO OND'AZUL RADIOTAXI DOS MOTORISTAS DE SANTOS,,Associação Privada,1987.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,APARECIDA,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA,STAR OF HOPE E ESTRELA DA ESPERANCA,Associação Privada,1971.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,EMBARE,Desenvolvimento e defesa de direitos,Outros
''ASSOCIACAO DE RETRANSMISSAO DE ENSINO TELEPRESENCIAL DA BAIXADA SANTISTA'',LFG - SANTOS,Associação Privada,2007.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO MUNDO NOVO,,Associação Privada,2006.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JARDIM RADIO CLUBE,Educação e pesquisa,Educação infantil
ASSOCIACAO NACIONAL DE DESENVOLVIMENTO ESPORTE E EDUCACAO - ANDEE,,Associação Privada,2006.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
VIDAS RECICLADAS,VIR,Associação Privada,2004.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA MATHIAS,Assistência social; Outras atividades associativas,Assistência social; Associações de atividades não especificadas anteriormente
CRECHE COMUNITARIA AMIGOS,,Associação Privada,2007.0,Educação infantil - creche,Educação infantil - creche,MORRO SO BENTO,Educação e pesquisa,Educação infantil
CRECHE COMUNITARIA AMIGOS,CRECHE AMIGOS - UNIDADE II,Associação Privada,2010.0,Educação infantil - creche,Educação infantil - creche,VILA SAO JORGE,Educação e pesquisa,Educação infantil
